model,sensitivity_type,parameter,relative_change,metric,baseline_value,scenario_value,delta,wind_x_mps
spin_factor_lift,spin_decay,spin_decay_6s,,carry_yd,133.061213485,120.399722814,-12.6614906716,
spin_factor_lift,spin_decay,spin_decay_6s,,apex_yd,25.0353872147,21.0334172913,-4.00196992338,
spin_factor_lift,spin_decay,spin_decay_6s,,lateral_yd,25.7144210672,19.5651147688,-6.14930629842,
spin_factor_lift,spin_decay,spin_decay_6s,,flight_time_s,6.23269993136,5.08437645311,-1.14832347826,
spin_factor_lift,spin_decay,spin_decay_3s,,carry_yd,133.061213485,113.760336524,-19.3008769617,
spin_factor_lift,spin_decay,spin_decay_3s,,apex_yd,25.0353872147,18.5011266725,-6.53426054211,
spin_factor_lift,spin_decay,spin_decay_3s,,lateral_yd,25.7144210672,16.911618571,-8.80280249613,
spin_factor_lift,spin_decay,spin_decay_3s,,flight_time_s,6.23269993136,4.49451132628,-1.73818860508,
spin_factor_lift,solver_tolerance,rtol_x10,,carry_yd,133.061213485,133.061213485,1.13686837722e-13,
spin_factor_lift,solver_tolerance,rtol_x10,,apex_yd,25.0353872147,25.0353813777,-5.83694108514e-06,
spin_factor_lift,solver_tolerance,rtol_x10,,lateral_yd,25.7144210672,25.7144210672,2.13162820728e-14,
spin_factor_lift,solver_tolerance,rtol_x10,,flight_time_s,6.23269993136,6.23269993136,8.881784197e-16,
spin_factor_lift,solver_tolerance,atol_x10,,carry_yd,133.061213485,133.061213485,0,
spin_factor_lift,solver_tolerance,atol_x10,,apex_yd,25.0353872147,25.0353929788,5.76417950526e-06,
spin_factor_lift,solver_tolerance,atol_x10,,lateral_yd,25.7144210672,25.7144210672,5.68434188608e-14,
spin_factor_lift,solver_tolerance,atol_x10,,flight_time_s,6.23269993136,6.23269993136,-2.6645352591e-15,
spin_factor_lift,solver_tolerance,max_step_x2,,carry_yd,133.061213485,133.061213485,-2.84217094304e-14,
spin_factor_lift,solver_tolerance,max_step_x2,,apex_yd,25.0353872147,25.0350854886,-0.000301726029278,
spin_factor_lift,solver_tolerance,max_step_x2,,lateral_yd,25.7144210672,25.7144210672,3.19744231092e-14,
spin_factor_lift,solver_tolerance,max_step_x2,,flight_time_s,6.23269993136,6.23269993136,0,
spin_factor_lift,solver_tolerance,method_RK45,,carry_yd,133.061213485,133.061213485,-5.11590769747e-13,
spin_factor_lift,solver_tolerance,method_RK45,,apex_yd,25.0353872147,25.0353872147,7.1054273576e-13,
spin_factor_lift,solver_tolerance,method_RK45,,lateral_yd,25.7144210672,25.7144210672,-1.95399252334e-13,
spin_factor_lift,solver_tolerance,method_RK45,,flight_time_s,6.23269993136,6.23269993136,3.01980662698e-14,
spin_factor_lift,initial_height,initial_height_0.001m,,carry_yd,133.061213485,133.047462322,-0.013751163212,
spin_factor_lift,initial_height,initial_height_0.001m,,apex_yd,25.0353872147,25.0255472931,-0.00983992155104,
spin_factor_lift,initial_height,initial_height_0.001m,,lateral_yd,25.7144210672,25.7119135372,-0.00250752999006,
spin_factor_lift,initial_height,initial_height_0.001m,,flight_time_s,6.23269993136,6.23193426576,-0.000765665601595,
spin_factor_lift,initial_height,initial_height_0.01m,,carry_yd,133.061213485,133.061213485,0,
spin_factor_lift,initial_height,initial_height_0.01m,,apex_yd,25.0353872147,25.0353872147,0,
spin_factor_lift,initial_height,initial_height_0.01m,,lateral_yd,25.7144210672,25.7144210672,0,
spin_factor_lift,initial_height,initial_height_0.01m,,flight_time_s,6.23269993136,6.23269993136,0,
spin_factor_lift,initial_height,initial_height_0.05m,,carry_yd,133.061213485,133.122304298,0.0610908123192,
spin_factor_lift,initial_height,initial_height_0.05m,,apex_yd,25.0353872147,25.0791277257,0.0437405110337,
spin_factor_lift,initial_height,initial_height_0.05m,,lateral_yd,25.7144210672,25.7255586472,0.0111375800305,
spin_factor_lift,initial_height,initial_height_0.05m,,flight_time_s,6.23269993136,6.23610125705,0.00340132568329,
