ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
122.95753008,20.4367367846,0,1000,17.7551020408,183.549207639,19.7163061766,28.0784630365,200,0,-16.4507923614,19.7163061766,25.6780314387,1.05546691518,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,18.9795918367,183.549207639,21.5960744969,28.0784630365,200,0,-16.4507923614,21.5960744969,27.1480939109,1.07423514249,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,20.2040816327,183.549207639,23.4181993591,28.0286208561,200,0,-16.4507923614,23.4181993591,28.6188859067,1.08941380217,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,21.4285714286,183.549207639,23.4181993591,27.9688350428,200,0,-16.4507923614,23.4181993591,28.6188859067,1.09891808558,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,22.6530612245,183.549207639,23.4181993591,27.9688350428,200,0,-16.4507923614,23.4181993591,28.6188859067,1.1070239401,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,23.8775510204,183.549207639,23.6253289392,27.9688350428,200,0,-16.4507923614,23.6253289392,28.7886216551,1.11518633122,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,25.1020408163,182.277066045,23.6253289392,27.9688350428,200,0,-17.7229339551,23.6253289392,29.5340236924,1.12286829834,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,26.3265306122,182.277066045,23.4411157677,27.9775086575,200,0,-17.7229339551,23.4411157677,29.3868728587,1.12989549791,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,27.5510204082,181.842464684,24.9163437176,27.9775086575,200,0,-18.1575353162,24.9163437176,30.8305088023,1.13929112239,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,28.7755102041,180.561508605,24.9094164524,27.7749456142,200,0,-19.4384913947,24.9094164524,31.5964234638,1.15099888638,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,30,180.561508605,25.45425069,27.5534267902,200,0,-19.4384913947,25.45425069,32.0277040372,1.16495227804,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
