ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations
120.750989557,19.4818696149,0,1183.67346939,23.8775510204,180.449153562,21.7332864372,25.519254547,200,0,-19.5508464378,21.7332864372,29.2330521123,0.989297365201,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,25.1020408163,179.177011968,21.7332864372,25.519254547,200,0,-20.8229880315,21.7332864372,30.0987137586,0.999247079699,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,26.3265306122,179.177011968,21.4813522621,25.5279281617,200,0,-20.8229880315,21.4813522621,29.9173081271,1.00927346949,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,27.5510204082,178.742410607,23.0851183842,25.5279281617,200,0,-21.2575893926,23.0851183842,31.3816474647,1.02014637481,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,28.7755102041,177.461454529,23.0586268183,25.3253651184,200,0,-22.5385454711,23.0586268183,32.2441669562,1.02718690211,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,30,177.461454529,24.0256671605,25.1038462944,200,0,-22.5385454711,24.0256671605,32.9426579751,1.03635025208,1.01189547215,borderline,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-30,172.73075534,-19.5205139449,26.0486096055,200,0,-27.2692446605,-19.5205139449,33.5359831975,0.732472026038,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-28.7755102041,175.802143729,-18.1319196603,26.0486096055,200,0,-24.1978562712,-18.1319196603,30.2374396847,0.733169590257,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-27.5510204082,175.802143729,-17.7707917002,26.3967506434,200,0,-24.1978562712,-17.7707917002,30.022279823,0.737668869729,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1367.34693878,-26.3265306122,175.802143729,-16.9914500353,26.3967506434,200,0,-24.1978562712,-16.9914500353,29.5676448575,0.745863235725,1.01189547215,supported,grid,,,,,,,,,,,,
