ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,source,sample_count,candidate_id,rank
125.367147416,26.6369612139,0,5371.76899499,-4.7665031945,198.887652271,-3.82573171418,37.9315091432,200,0,-1.11234772893,-3.82573171418,3.98416121899,1.04980198439,1.01189547215,borderline,lhs,20000,sampling_009718,67
121.034667434,17.7499517031,0,1659.55753681,-1.29495886905,196.378777658,-1.75664977319,23.9223659707,200,0,-3.62122234164,-1.75664977319,4.02480678707,0.523304885243,1.01189547215,supported,lhs,20000,sampling_007620,68
125.25449139,20.6220860796,0,8835.84002102,-1.7842423454,195.94974359,0.35644637467,36.6444063092,200,0,-4.05025640956,0.35644637467,4.06591084521,1.72214810721,1.01189547215,out_of_support,lhs,20000,sampling_013856,69
136.859393131,11.4484306609,0,1171.32478176,4.37038439753,199.022242265,3.95260718146,16.8321135845,200,0,-0.977757735183,3.95260718146,4.07174578279,0.811928026594,1.01189547215,supported,lhs,20000,sampling_007046,70
128.913937434,15.116870727,0,5043.56963033,1.45323907991,203.691951792,1.74529880112,28.5587334576,200,0,3.69195179225,1.74529880112,4.08369635764,0.534998841143,1.01189547215,supported,lhs,20000,sampling_010193,71
126.95745739,16.8142084924,0,4533.95935707,4.59874088815,199.534198236,4.11989398734,28.6884736574,200,0,-0.465801764312,4.11989398734,4.1461425145,0.576455686695,1.01189547215,supported,lhs,20000,sampling_014761,72
125.864994893,23.0673698802,0,8505.40133197,-1.8690307947,195.888665608,0.730076706532,37.6127167996,200,0,-4.1113343919,0.730076706532,4.1756535392,1.71394036787,1.01189547215,out_of_support,lhs,20000,sampling_005408,73
125.836796722,23.9357743812,0,9238.08061343,-2.11717015944,195.888665608,0.730076706532,37.6732432714,200,0,-4.1113343919,0.730076706532,4.1756535392,1.9552086986,1.01189547215,out_of_support,lhs,20000,sampling_014614,74
129.013612564,16.1722518443,0,8297.83825338,-3.35406509827,200.818351109,-4.11057745317,30.7606239188,200,0,0.818351109157,-4.11057745317,4.1912462987,1.64577508931,1.01189547215,out_of_support,lhs,20000,sampling_011975,75
126.678585316,21.8218030014,0,7480.23990721,-4.06437287109,199.353095153,-4.15216952518,36.5934747058,200,0,-0.646904846823,-4.15216952518,4.20226101601,1.42759885002,1.01189547215,out_of_support,lhs,20000,sampling_011803,76
123.691038745,16.8457647471,0,1705.06994818,3.63136875961,197.545693022,3.4166747911,22.2023919658,200,0,-2.45430697786,3.4166747911,4.20681463458,0.602047379226,1.01189547215,supported,lhs,20000,sampling_000855,77
138.345635194,7.90629473473,0,4929.0670513,2.14349932892,196.952258662,2.94181039043,17.2758458875,200,0,-3.04774133808,2.94181039043,4.23591497047,0.796400289834,1.01189547215,supported,lhs,20000,sampling_011773,78
127.215611926,16.7364618678,0,8910.58539644,0.990969104996,203.973929039,1.50292414801,30.2539679923,200,0,3.97392903858,1.50292414801,4.24863425095,1.78762514105,1.01189547215,out_of_support,lhs,20000,sampling_009571,79
130.748437573,12.9276654491,0,5715.980718,-3.47753135827,199.803616503,-4.25271281797,25.2369715613,200,0,-0.196383497408,-4.25271281797,4.25724474164,0.816216311523,1.01189547215,supported,lhs,20000,sampling_010525,80
127.730664557,17.5710776534,0,8055.05431509,0.517575713626,204.124138022,1.05814031717,32.5204519342,200,0,4.12413802198,1.05814031717,4.2577195017,1.4613479507,1.01189547215,out_of_support,lhs,20000,sampling_019018,81
120.540672049,24.6588189099,0,2521.25739526,-4.30859720303,199.093990611,-4.19990756143,32.0695365234,200,0,-0.906009388923,-4.19990756143,4.2965191187,1.0473561726,1.01189547215,borderline,lhs,20000,sampling_006372,82
126.253309966,24.5831938675,0,8750.21742789,-4.62555658441,197.454725557,-3.49690508829,37.8260567643,200,0,-2.54527444311,-3.49690508829,4.32513204276,1.89650324944,1.01189547215,out_of_support,lhs,20000,sampling_011272,83
130.308921087,10.9353262315,0,7247.688012,2.48455129375,198.717634435,4.13340449017,22.6595265727,200,0,-1.28236556528,4.13340449017,4.32775855639,1.22426382979,1.01189547215,borderline,lhs,20000,sampling_013380,84
125.453424851,22.1965656331,0,7081.75084906,-1.47722206147,195.761864114,0.900578310519,37.2939102747,200,0,-4.23813588635,0.900578310519,4.33276321584,1.23030215641,1.01189547215,borderline,lhs,20000,sampling_010814,85
120.324497582,22.805328583,0,2543.19264118,2.68819351018,200.348944713,4.34688843158,30.0820560353,200,0,0.348944712621,4.34688843158,4.36087163868,0.811258713231,1.01189547215,supported,lhs,20000,sampling_005043,86
126.913275039,14.7678297563,0,4996.35670273,-1.96178673206,196.315894747,-2.39529886196,28.6945744215,200,0,-3.68410525292,-2.39529886196,4.39432453885,0.479968894299,1.01189547215,supported,lhs,20000,sampling_009621,87
130.030933116,12.193472058,0,3779.30252363,5.45670635471,200.836051396,4.33796827729,22.2921899148,200,0,0.836051396002,4.33796827729,4.41779930639,0.440724127686,1.01189547215,supported,lhs,20000,sampling_011219,88
139.968980456,8.40672029688,0,5088.76738232,-2.04068879193,195.632817752,-0.669885801427,18.4019243979,200,0,-4.36718224798,-0.669885801427,4.41826071821,0.958862181032,1.01189547215,supported,lhs,20000,sampling_005156,89
122.282784835,22.8842389407,0,1642.97721055,1.26592779432,198.352680578,4.09974206488,29.6222145995,200,0,-1.64731942236,4.09974206488,4.41831939518,1.07705786096,1.01189547215,borderline,lhs,20000,sampling_006615,90
128.358206915,14.7817028373,0,9240.65761468,-3.70800186331,200.027303245,-4.43827239493,29.9009971856,200,0,0.0273032453166,-4.43827239493,4.43835637583,2.06227203982,1.01189547215,out_of_support,lhs,20000,sampling_012218,91
131.234884869,11.9377413777,0,1556.92719655,-3.11307869313,201.162603532,-4.29925555612,16.3153665035,200,0,1.16260353215,-4.29925555612,4.45367772855,0.617431780425,1.01189547215,supported,lhs,20000,sampling_000576,92
125.637953022,25.7452005591,0,5887.99410106,-3.96877549785,198.635618041,-4.2405408262,37.9131489184,200,0,-1.36438195949,-4.2405408262,4.45462957271,1.07035738979,1.01189547215,borderline,lhs,20000,sampling_017695,93
138.797140848,10.1312234722,0,7629.86895964,-2.7689900141,204.270642739,-1.33448685419,20.7577135401,200,0,4.27064273856,-1.33448685419,4.47428704537,1.64956341615,1.01189547215,out_of_support,lhs,20000,sampling_016392,94
128.398506615,14.5782809224,0,4647.7290075,2.1089541603,203.272969403,3.06729749461,25.333962898,200,0,3.27296940259,3.06729749461,4.48560393155,0.506753356979,1.01189547215,supported,lhs,20000,sampling_003841,95
