candidate_id,nominal_rank,objective_yd,support_category,selection_method,cluster_id,selected_for_robustness,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,launch_direction_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,support_knn_distance,support_threshold,source,rank,seed
de_seed_2026,1,0.0101144143951,supported,all_supported_near_optimal,-1,True,121.112598931,19.6161542956,2627.70810176,-0.365694255678,0,199.992290142,-0.00654671446218,28.7639047264,0.633695938788,1.01189547215,differential_evolution,1,2026
local_2026_01546,2,0.0109161893508,supported,all_supported_near_optimal,-1,True,120.242954821,18.9299405954,2439.26713164,0.562320281182,0,200.004343816,-0.0100147118697,27.490270242,0.595484007785,1.01189547215,local_refinement,2,2026
local_2030_01110,3,0.0121900697354,supported,all_supported_near_optimal,-1,True,127.908738177,12.6118990134,4011.37447174,0.597632321823,0,200.011308601,0.00455119158032,22.14895225,0.417822397715,1.01189547215,local_refinement,3,2030
local_2030_02240,4,0.0121900697354,supported,all_supported_near_optimal,-1,True,127.730193528,12.6210602453,4052.11964825,0.294681272975,0,200.011308601,0.00455119158032,22.1748708399,0.41833813661,1.01189547215,local_refinement,4,2030
de_seed_2030,5,0.0121900697354,supported,all_supported_near_optimal,-1,True,128.413374806,12.5928397819,4046.28656882,0.357995731247,0,200.011308601,0.00455119158032,22.1748708399,0.437814513161,1.01189547215,differential_evolution,5,2030
local_2030_02785,6,0.0164157638596,supported,all_supported_near_optimal,-1,True,127.773035931,12.856038462,3955.11853001,0.441362531328,0,199.984227747,0.00455119158032,23.3962701887,0.408809070747,1.01189547215,local_refinement,6,2030
local_2030_04036,7,0.0164157638596,supported,all_supported_near_optimal,-1,True,128.206340427,12.7913071752,3956.44712571,0.791495461178,0,199.984227747,0.00455119158032,22.6401267393,0.423363644172,1.01189547215,local_refinement,7,2030
local_2026_00160,8,0.0195385228082,supported,all_supported_near_optimal,-1,True,122.034704075,18.7755553587,2603.0242911,-0.723960840304,0,200.019409757,0.00223946573959,27.6292485449,0.591077311372,1.01189547215,local_refinement,8,2026
de_seed_2028,9,0.0198291676486,supported,all_supported_near_optimal,-1,True,130.797096495,11.5259085339,6516.84953779,-0.397986947552,0,199.985686424,0.0137228798186,23.9058895912,0.975297292406,1.01189547215,differential_evolution,9,2028
local_2026_04651,10,0.0222607379143,supported,all_supported_near_optimal,-1,True,120.750989557,19.4818696149,2348.78090538,0.450078135166,0,200.006178672,-0.0213860809604,28.0601075808,0.648134798564,1.01189547215,local_refinement,10,2026
