candidate_id,parameter_scenario,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std,support_category,objective_yd,support_knn_distance,decision_space_support,full_model_input_support,out_of_support_fraction
local_2030_03219,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.34578280103,6.00324152127,10.3757399765,12.0737205119,9.14811412249,0.1531,0.3632,2.00947226315,supported,0.331149771256,0.466751933155,supported,supported,0
local_2030_02130,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.2997062713,6.03158887911,10.3192023068,11.7854793069,9.07369788264,0.1546,0.3632,2.00777858022,supported,0.331149771256,0.46921588023,supported,supported,0
local_2030_02495,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.61635299469,6.3058321921,10.9185202915,12.7441180171,9.70310372652,0.1477,0.344,2.18112429665,supported,0.331149771256,0.476409484871,supported,supported,0
local_2030_02958,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.21838271442,5.91972315519,10.170755522,11.6622859693,8.88481933726,0.1537,0.367,1.9363727094,supported,0.331149771256,0.477109338376,supported,supported,0
local_2030_02688,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.39281539788,6.06931040315,10.4639313874,12.0138514717,9.2208468576,0.1482,0.3528,2.04352387946,supported,0.331149771256,0.484655741594,supported,supported,0
local_2028_00114,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.77745185205,5.26667533101,10.2054306023,11.5858974687,7.41439162213,0.2069,0.4658,1.34502627733,supported,0.331884871479,0.875258009668,supported,supported,0
local_2028_04683,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.79279819727,5.27401167364,10.2101994427,11.6341107153,7.47472753587,0.2047,0.463,1.36304121127,supported,0.331884871479,0.879367014051,supported,supported,0
local_2028_00081,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.95520319112,5.42229147014,10.2885414089,11.6864461908,7.79020204904,0.1986,0.4506,1.52085387597,supported,0.331884871479,0.92056049708,supported,supported,0
local_2026_01310,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.11129846406,6.6760571713,12.1380915001,12.918022602,10.9690223344,0.1274,0.3633,3.0015086486,supported,0.335326356767,0.576191381994,supported,supported,0
local_2030_01724,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.94132376223,5.69285863145,9.74615124736,10.9857498494,8.18052480055,0.1567,0.3975,1.57780529922,supported,0.337039671452,0.42755224498,supported,supported,0
local_2026_01676,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.02605550586,5.59513558803,10.3538111917,11.5787877553,8.93280331502,0.1902,0.4399,2.17079730123,supported,0.339299863751,0.667906985311,supported,supported,0
local_2028_01772,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.00556358442,5.50023332967,10.3482655431,11.8557917273,7.36950999142,0.1934,0.439,1.43422501375,supported,0.339695794414,0.971389107978,supported,supported,0
