record_id,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
379,125.3355,18.86,3271.25,7.19,0.62451623541,1.01189547215,supported
381,130.0778,8.43,15368.3604,-0.61,4.75593182662,1.01189547215,borderline
382,128.1988,4.6,2723.5,6.06,0.721839490863,1.01189547215,supported
383,113.614,11.57,3422.6299,15.41,0.410848259832,1.01189547215,supported
384,90.0143,18.45,1972.8199,-20.07,0.604133061484,1.01189547215,supported
385,89.1866,21.1,2513,25.29,0.575568530496,1.01189547215,supported
386,87.3747,19.74,2342.46,13.58,0.429803778021,1.01189547215,supported
388,89.3209,20,2284.23,12.09,0.417899440229,1.01189547215,supported
389,97.5752,20.08,4848.8301,20.63,0.480717549051,1.01189547215,supported
391,92.5868,14.3,5020.0801,32.64,0.702351287927,1.01189547215,supported
392,110.4375,15.78,4425.73,-7.98,0.424081244119,1.01189547215,supported
394,92.8552,18.38,2526.6201,5.52,0.519682778641,1.01189547215,supported
395,86.6813,21.2,2354.53,22.84,0.535859112584,1.01189547215,supported
396,93.2579,9.75,3814.0601,22.64,0.89950081102,1.01189547215,supported
398,89.4775,19.18,7608.8198,22.88,0.834517356238,1.01189547215,supported
401,94.8685,19.86,6462.2002,19.37,0.368913600361,1.01189547215,supported
402,96.3001,19.89,6254.6602,18.16,0.329279680256,1.01189547215,supported
403,98.0449,19.97,2625.27,13.63,0.534935748652,1.01189547215,supported
404,82.3193,3.58,2897.95,13.85,1.14859286349,1.01189547215,borderline
407,123.9486,11.27,3216.8501,-1.57,0.351082448529,1.01189547215,supported
408,119.5642,16.47,1434.39,-8.73,0.585168156825,1.01189547215,supported
410,116.522,18.3,3859.04,21.13,0.389845484252,1.01189547215,supported
411,127.1475,14.63,3159.1899,10.73,0.314728886594,1.01189547215,supported
412,94.3092,28.2,5826.5698,-15.21,0.724964803956,1.01189547215,supported
413,89.3656,32.26,5925.79,-35.14,1.27213295954,1.01189547215,borderline
414,70.3293,40.84,4534.9102,-18.36,1.56445530657,1.01189547215,borderline
415,97.7094,5.32,2258.95,42.2,0.838722475542,1.01189547215,supported
416,102.049,13.85,764.89,-1.99,0.708265348319,1.01189547215,supported
417,87.8892,13.49,5918.7598,4.27,0.749476944457,1.01189547215,supported
418,101.8477,11.14,3403.48,1.75,0.637332745206,1.01189547215,supported
419,124.3065,5.52,4561.0898,7.75,0.564279352975,1.01189547215,supported
420,117.551,4.02,1290.98,3.85,0.690595210411,1.01189547215,supported
421,129.8542,6.82,2767.5801,-22.03,0.642431878786,1.01189547215,supported
422,116.0299,6.04,3761.23,-80.49,1.43509415445,1.01189547215,borderline
423,119.1169,6.04,2709.29,-22.68,0.580721685114,1.01189547215,supported
426,116.7457,17.02,6668.8999,28.67,0.622561643052,1.01189547215,supported
428,113.3679,14.97,4058.29,1.53,0.402583012487,1.01189547215,supported
429,127.0804,10.9,2311.49,-11.86,0.594844170583,1.01189547215,supported
433,124.6868,10.92,4876.3999,13.66,0.52371552784,1.01189547215,supported
434,124.575,11.72,1895.6,-0.03,0.391606761082,1.01189547215,supported
435,115.2917,5.9,2471.8701,21.05,0.537198548884,1.01189547215,supported
436,121.667,12.19,2005.6801,-2.71,0.418795075237,1.01189547215,supported
437,96.8817,17.87,3438.3501,-22.97,0.549980996028,1.01189547215,supported
439,92.8552,21.3,4333.21,13.89,0.528401605303,1.01189547215,supported
441,103.0333,20.32,5240.02,0.25,0.371597567952,1.01189547215,supported
442,106.6347,17.57,4899.98,-6.16,0.405211345627,1.01189547215,supported
443,106.4782,18.7,4421.1699,-5.35,0.373682752429,1.01189547215,supported
444,103.7044,23.14,4628.9399,10.48,0.510442512623,1.01189547215,supported
445,108.0888,21.68,4778.0698,6.4,0.480396528735,1.01189547215,supported
446,106.165,8.6,3045.9099,18.26,0.714867206543,1.01189547215,supported
447,118.7366,14.8,4731.4199,-1.25,0.486561395001,1.01189547215,supported
449,117.8865,19.12,4792.7798,8.83,0.504366721705,1.01189547215,supported
451,104.6886,17.65,2458.46,-33.25,0.598928854717,1.01189547215,supported
452,122.3828,14.99,4451.8501,-10.71,0.534552598784,1.01189547215,supported
453,111.3771,16.39,2529.2,-26.66,0.524824778579,1.01189547215,supported
454,124.1276,16.16,4526.2998,-3.54,0.513024658344,1.01189547215,supported
455,114.1061,13.14,1663.41,-37.76,0.56165875398,1.01189547215,supported
456,117.6852,9.81,1882.6801,-35.04,0.520287231153,1.01189547215,supported
457,108.648,13.32,844.74,-11.19,0.711162777034,1.01189547215,supported
460,123.4565,10.45,3004.6299,-4.27,0.414265948073,1.01189547215,supported
462,117.7076,15.26,2172.5701,-22.49,0.497977416234,1.01189547215,supported
463,118.4905,15.23,2214.9299,-41.7,0.5674078335,1.01189547215,supported
464,121.2867,13.13,2444.8701,-48.17,0.64759972147,1.01189547215,supported
465,96.5014,15.69,1328.84,-51.06,0.743952528695,1.01189547215,supported
466,125.5145,10.67,3681.22,-43.15,0.812214800553,1.01189547215,supported
467,116.9694,13.32,2482.6599,-29.79,0.509011366076,1.01189547215,supported
468,107.0374,15.46,2491.74,-29.35,0.478723080145,1.01189547215,supported
469,104.711,16.96,1388.55,-25.71,0.538833147577,1.01189547215,supported
470,105.4715,14.38,1827.85,-28.96,0.52242158282,1.01189547215,supported
471,115.1127,13.28,2781.8999,-20.03,0.478791147685,1.01189547215,supported
472,92.4749,26.13,5463.7598,-3.31,0.508592671251,1.01189547215,supported
474,90.7078,24.37,6497.3301,25.69,0.792274517125,1.01189547215,supported
476,96.8817,24.38,6586.1899,1.89,0.454610758411,1.01189547215,supported
477,91.0657,17.28,5287.7598,11.46,0.613151936904,1.01189547215,supported
479,100.1476,25.11,4674.8398,-17.15,0.736486582493,1.01189547215,supported
481,103.5925,14.71,1559.52,11.16,0.514100724077,1.01189547215,supported
482,107.5072,16.47,1496.62,-23.84,0.471829554219,1.01189547215,supported
484,119.9222,11.16,3941.8101,-2.24,0.436461702047,1.01189547215,supported
486,125.5369,11.88,3725.01,-6.76,0.429606525797,1.01189547215,supported
487,118.1102,3.36,1845.48,29.46,0.781057448751,1.01189547215,supported
488,80.5521,18.4,7362.1001,-3.1,0.818238394386,1.01189547215,supported
489,85.9431,26.51,4123.3501,1.78,0.531631206861,1.01189547215,supported
490,87.1734,24.57,6704.8901,-2.75,0.641494786227,1.01189547215,supported
491,93.8618,24.95,7092.3398,5.23,0.47592764399,1.01189547215,supported
492,106.4782,2.9,2668.04,25.44,0.690726227971,1.01189547215,supported
494,95.0251,21.03,7464.48,0.57,0.5724154313,1.01189547215,supported
495,103.9728,14.59,4760.0498,1.05,0.403323824034,1.01189547215,supported
497,91.3341,16.6,4359.7798,-9.43,0.685708083401,1.01189547215,supported
498,83.7509,15.58,1798.21,-8.53,0.660032371649,1.01189547215,supported
499,107.3729,11.83,4490.2598,-20.39,0.518069239344,1.01189547215,supported
500,108.2677,16.35,5675.7998,3.61,0.333677064281,1.01189547215,supported
501,117.0141,13.3,2987.6001,-16.59,0.53086441379,1.01189547215,supported
503,102.1161,16.97,5133.1201,13.83,0.487801661204,1.01189547215,supported
505,122.8302,8.3,3917.22,1.16,0.610528907148,1.01189547215,supported
506,95.6514,14.8,7624.5601,17.96,0.943462792511,1.01189547215,supported
508,121.5551,11.31,5142.0498,0.05,0.607663344258,1.01189547215,supported
509,100.7292,13,1305.5,-56.03,0.684517363955,1.01189547215,supported
