record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
277,80.9995,10.54,5.74,1681.9301,-73.42,1.38345735885,1.40896007673,supported
278,112.4955,8.3,-5.4,1810.48,-60.68,0.65139118422,1.40896007673,supported
283,100.2819,16.74,7.66,1728.5699,56.2,1.28350489246,1.40896007673,supported
285,97.262,19.65,-0.66,3240.5601,17.47,0.543734971824,1.40896007673,supported
286,95.8304,21.01,-1.87,3090.3301,5.52,0.594320446046,1.40896007673,supported
287,114.3746,11.55,2.1,5212.0298,21.24,0.585345896801,1.40896007673,supported
288,99.8568,13.57,2.77,558.24,37.23,1.00170035466,1.40896007673,supported
289,96.658,16.37,7.58,1079.37,81.1,1.84536686303,1.40896007673,borderline
290,95.8527,15.15,5.4,1130.74,24.37,0.679694093968,1.40896007673,supported
292,96.9265,4.41,-6.67,1267.98,48.05,1.38739011711,1.40896007673,supported
293,115.068,9.13,-3.93,2622.8101,-16.52,0.7891215077,1.40896007673,supported
294,104.711,16.16,-2.32,2499.6799,8.6,0.731359831079,1.40896007673,supported
295,113.5245,10.3,-0.69,1564.88,-42.12,0.682375526806,1.40896007673,supported
296,111.8468,10.5,-2.98,2765.9399,2.51,0.658896065064,1.40896007673,supported
297,95.4053,3.94,-5.13,1850.85,32.69,1.06544509982,1.40896007673,supported
298,74.2663,17.11,13.04,1963.74,41.9,1.8583026841,1.40896007673,borderline
299,102.228,13.55,2.78,6539.9199,33.34,1.09233750748,1.40896007673,supported
300,100.7516,16.78,3.71,1918.86,28.25,0.68338999074,1.40896007673,supported
302,111.4665,13.55,6.23,5215.04,21.79,0.786382798886,1.40896007673,supported
303,83.8404,8.69,-9.31,5052.79,8.58,1.577366773,1.40896007673,borderline
304,85.1154,11.31,16.12,10611.6904,-17.65,3.02108969865,1.40896007673,borderline
305,110.9744,7.82,3.04,4603.71,23.02,0.890105516551,1.40896007673,supported
306,112.764,13.06,2.13,3853.1799,24.68,0.590277222673,1.40896007673,supported
307,107.5519,14.24,2.98,2677.03,23.46,0.731899156013,1.40896007673,supported
308,107.7085,9.18,-0.77,3375.5901,25.21,0.694089167081,1.40896007673,supported
309,113.9943,11.06,-0.26,3879.51,22.02,0.575605001526,1.40896007673,supported
310,93.5934,19.81,-0.81,5880.3999,19.95,0.82959694585,1.40896007673,supported
311,104.0175,16.03,-3.53,4267.3301,1.25,0.467021640191,1.40896007673,supported
312,83.6167,20.56,1.2,5415.0298,22.61,0.957502011458,1.40896007673,supported
314,105.8295,19.51,-0.45,4007.1499,11.4,0.496546410294,1.40896007673,supported
315,111.0192,16.66,-4.06,5411.8901,2.03,0.656354299257,1.40896007673,supported
316,89.4327,18.87,-4.49,3604.48,-9.35,0.756944779815,1.40896007673,supported
317,104.3754,15.77,-2.31,4120.5801,-0.55,0.392759883787,1.40896007673,supported
319,111.1534,17.79,-3.81,3939.72,-2.85,0.53454852168,1.40896007673,supported
320,95.9422,18.36,1.56,3572.6499,17,0.566786875104,1.40896007673,supported
321,112.7416,19.07,0.1,4827.3599,-4.43,0.571748004714,1.40896007673,supported
322,93.9737,18.91,2.25,3118.51,-7.97,0.784223953677,1.40896007673,supported
323,89.634,12.8,-1.9,6065.3398,26.81,1.11155574709,1.40896007673,supported
324,95.0698,19.47,-2.31,6160,5.2,0.785533012414,1.40896007673,supported
325,90.0143,6.79,1.96,3111.8601,25.27,1.12292644709,1.40896007673,supported
326,95.7409,20.33,-2.44,5508.77,-24.6,0.783544992757,1.40896007673,supported
327,89.6788,19.94,5.49,4593.1802,21.44,0.626001204828,1.40896007673,supported
329,79.8586,11.12,25.05,6528.0801,12.84,2.891460781,1.40896007673,borderline
333,81.2679,3.99,6.78,7122.54,2.09,1.87033283038,1.40896007673,borderline
334,91.7368,19.05,-7.2,3227.54,-4.57,0.758030089325,1.40896007673,supported
335,79.0533,19.36,-4.87,2163.6599,-8.14,1.07509279397,1.40896007673,supported
336,100.595,18.23,-1.13,4116.6001,-5.9,0.586683630644,1.40896007673,supported
338,97.5975,20.41,1.08,4469.1299,9.1,0.580236511305,1.40896007673,supported
