x,carry_distance_yd,feature,feature_label
95.0698,131.7695,ball_speed_mph,Ball speed
90.0143,70.7021,ball_speed_mph,Ball speed
95.7409,133.0271,ball_speed_mph,Ball speed
89.6788,120.1444,ball_speed_mph,Ball speed
82.2298,55.8071,ball_speed_mph,Ball speed
79.8586,81.7913,ball_speed_mph,Ball speed
86.6142,91.5792,ball_speed_mph,Ball speed
77.7559,79.4619,ball_speed_mph,Ball speed
91.8933,124.4313,ball_speed_mph,Ball speed
81.2679,57.8959,ball_speed_mph,Ball speed
91.7368,127.8543,ball_speed_mph,Ball speed
79.0533,96.916,ball_speed_mph,Ball speed
100.595,146.1505,ball_speed_mph,Ball speed
89.6117,123.9064,ball_speed_mph,Ball speed
97.5975,141.1527,ball_speed_mph,Ball speed
102.5635,149.5625,ball_speed_mph,Ball speed
99.8121,136.1439,ball_speed_mph,Ball speed
100.8411,147.6269,ball_speed_mph,Ball speed
104.4426,156.1899,ball_speed_mph,Ball speed
92.4526,117.2025,ball_speed_mph,Ball speed
99.0292,137.9046,ball_speed_mph,Ball speed
77.398,95.1334,ball_speed_mph,Ball speed
84.6904,110.6955,ball_speed_mph,Ball speed
83.1693,111.7126,ball_speed_mph,Ball speed
83.7285,109.416,ball_speed_mph,Ball speed
91.7144,105.3696,ball_speed_mph,Ball speed
81.4021,103.0402,ball_speed_mph,Ball speed
106.6795,136.2533,ball_speed_mph,Ball speed
109.0954,148.2502,ball_speed_mph,Ball speed
93.2355,119.871,ball_speed_mph,Ball speed
104.8228,116.273,ball_speed_mph,Ball speed
99.9687,114.5451,ball_speed_mph,Ball speed
88.0234,92.465,ball_speed_mph,Ball speed
99.6108,84.1973,ball_speed_mph,Ball speed
79.6573,95.7349,ball_speed_mph,Ball speed
109.9007,165.584,ball_speed_mph,Ball speed
110.0349,99.6391,ball_speed_mph,Ball speed
65.2514,49.3329,ball_speed_mph,Ball speed
110.3704,167.3884,ball_speed_mph,Ball speed
105.136,154.6369,ball_speed_mph,Ball speed
104.1965,146.3145,ball_speed_mph,Ball speed
108.3348,149.5297,ball_speed_mph,Ball speed
85.876,102.231,ball_speed_mph,Ball speed
104.3083,67.0166,ball_speed_mph,Ball speed
95.9422,126.3342,ball_speed_mph,Ball speed
100.1476,143.0118,ball_speed_mph,Ball speed
108.9612,151.2686,ball_speed_mph,Ball speed
115.0233,155.5884,ball_speed_mph,Ball speed
115.6496,165.7262,ball_speed_mph,Ball speed
107.4177,158.7708,ball_speed_mph,Ball speed
102.1385,152.8434,ball_speed_mph,Ball speed
109.9007,164.8185,ball_speed_mph,Ball speed
114.1285,184.6894,ball_speed_mph,Ball speed
112.6074,145.6037,ball_speed_mph,Ball speed
130.7266,184.5691,ball_speed_mph,Ball speed
125.3355,211.4939,ball_speed_mph,Ball speed
122.9644,170.8661,ball_speed_mph,Ball speed
130.0778,169.7616,ball_speed_mph,Ball speed
128.1988,140.1028,ball_speed_mph,Ball speed
113.614,157.5131,ball_speed_mph,Ball speed
90.0143,117.3228,ball_speed_mph,Ball speed
89.1866,121.0411,ball_speed_mph,Ball speed
87.3747,115.7152,ball_speed_mph,Ball speed
86.6813,115.4528,ball_speed_mph,Ball speed
89.3209,121.4458,ball_speed_mph,Ball speed
97.5752,137.8062,ball_speed_mph,Ball speed
99.745,147.0582,ball_speed_mph,Ball speed
92.5868,108.9567,ball_speed_mph,Ball speed
110.4375,164.8075,ball_speed_mph,Ball speed
91.267,127.2966,ball_speed_mph,Ball speed
92.8552,127.3731,ball_speed_mph,Ball speed
86.6813,115.8246,ball_speed_mph,Ball speed
93.2579,96.0302,ball_speed_mph,Ball speed
102.6083,150.8311,ball_speed_mph,Ball speed
89.4775,114.9825,ball_speed_mph,Ball speed
97.1501,132.8412,ball_speed_mph,Ball speed
101.9372,149.6172,ball_speed_mph,Ball speed
94.8685,129.4838,ball_speed_mph,Ball speed
96.3001,133.0271,ball_speed_mph,Ball speed
98.0449,143.7445,ball_speed_mph,Ball speed
82.3193,36.3845,ball_speed_mph,Ball speed
86.6142,111.0564,ball_speed_mph,Ball speed
90.9762,122.8237,ball_speed_mph,Ball speed
123.9486,186.7782,ball_speed_mph,Ball speed
119.5642,186.7345,ball_speed_mph,Ball speed
120.2353,144.0507,ball_speed_mph,Ball speed
116.522,182.2725,ball_speed_mph,Ball speed
127.1475,206.5398,ball_speed_mph,Ball speed
94.3092,126.4326,ball_speed_mph,Ball speed
89.3656,113.7248,ball_speed_mph,Ball speed
70.3293,80.5993,ball_speed_mph,Ball speed
97.7094,61.0346,ball_speed_mph,Ball speed
102.049,116.5245,ball_speed_mph,Ball speed
87.8892,104.6697,ball_speed_mph,Ball speed
101.8477,128.6527,ball_speed_mph,Ball speed
124.3065,162.4563,ball_speed_mph,Ball speed
117.551,76.6842,ball_speed_mph,Ball speed
129.8542,165.4856,ball_speed_mph,Ball speed
116.0299,63.4952,ball_speed_mph,Ball speed
119.1169,129.3526,ball_speed_mph,Ball speed
133.6793,116.5901,ball_speed_mph,Ball speed
129.7647,192.4103,ball_speed_mph,Ball speed
116.7457,158.4755,ball_speed_mph,Ball speed
117.9984,87.9484,ball_speed_mph,Ball speed
113.3679,166.7104,ball_speed_mph,Ball speed
127.0804,185.8815,ball_speed_mph,Ball speed
125.1566,161.1439,ball_speed_mph,Ball speed
111.1757,43.657,ball_speed_mph,Ball speed
128.6462,201.7498,ball_speed_mph,Ball speed
124.6868,179.8994,ball_speed_mph,Ball speed
124.575,181.3976,ball_speed_mph,Ball speed
115.2917,116.8526,ball_speed_mph,Ball speed
121.667,177.395,ball_speed_mph,Ball speed
96.8817,128.1387,ball_speed_mph,Ball speed
